;Nombres
0;Unnamed: 0
1;player
2;nationality
3;position
4;squad
5;age
6;birth_year
7;value
8;height
9;position2
10;foot
11;league
12;games
13;games_starts
14;minutes
15;goals
16;assists
17;pens_made
18;pens_att
19;cards_yellow
20;cards_red
21;goals_per90
22;assists_per90
23;goals_assists_per90
24;goals_pens_per90
25;goals_assists_pens_per90
26;xg
27;npxg
28;xa
29;xg_per90
30;xa_per90
31;xg_xa_per90
32;npxg_per90
33;npxg_xa_per90
34;minutes_90s
35;shots_total
36;shots_on_target
37;shots_free_kicks
38;shots_on_target_pct
39;shots_total_per90
40;shots_on_target_per90
41;goals_per_shot
42;goals_per_shot_on_target
43;npxg_per_shot
44;xg_net
45;npxg_net
46;passes_completed
47;passes
48;passes_pct
49;passes_total_distance
50;passes_progressive_distance
51;passes_completed_short
52;passes_short
53;passes_pct_short
54;passes_completed_medium
55;passes_medium
56;passes_pct_medium
57;passes_completed_long
58;passes_long
59;passes_pct_long
60;xa_net
61;assisted_shots
62;passes_into_final_third
63;passes_into_penalty_area
64;crosses_into_penalty_area
65;progressive_passes
66;passes_live
67;passes_dead
68;passes_free_kicks
69;through_balls
70;passes_pressure
71;passes_switches
72;crosses
73;corner_kicks
74;corner_kicks_in
75;corner_kicks_out
76;corner_kicks_straight
77;passes_ground
78;passes_low
79;passes_high
80;passes_left_foot
81;passes_right_foot
82;passes_head
83;throw_ins
84;passes_other_body
85;passes_offsides
86;passes_oob
87;passes_intercepted
88;passes_blocked
89;sca
90;sca_per90
91;sca_passes_live
92;sca_passes_dead
93;sca_dribbles
94;sca_shots
95;sca_fouled
96;gca
97;gca_per90
98;gca_passes_live
99;gca_passes_dead
100;gca_dribbles
101;gca_shots
102;gca_fouled
103;gca_og_for
104;tackles
105;tackles_won
106;tackles_def_3rd
107;tackles_mid_3rd
108;tackles_att_3rd
109;dribble_tackles
110;dribbles_vs
111;dribble_tackles_pct
112;dribbled_past
113;pressures
114;pressure_regains
115;pressure_regain_pct
116;pressures_def_3rd
117;pressures_mid_3rd
118;pressures_att_3rd
119;blocks
120;blocked_shots
121;blocked_shots_saves
122;blocked_passes
123;interceptions
124;clearances
125;errors
126;touches
127;touches_def_pen_area
128;touches_def_3rd
129;touches_mid_3rd
130;touches_att_3rd
131;touches_att_pen_area
132;touches_live_ball
133;dribbles_completed
134;dribbles
135;dribbles_completed_pct
136;players_dribbled_past
137;nutmegs
138;carries
139;carry_distance
140;carry_progressive_distance
141;pass_targets
142;passes_received
143;passes_received_pct
144;miscontrols
145;dispossessed
146;cards_yellow_red
147;fouls
148;fouled
149;offsides
150;pens_won
151;pens_conceded
152;own_goals
153;ball_recoveries
154;aerials_won
155;aerials_lost
156;aerials_won_pct
157;games_gk
158;games_starts_gk
159;minutes_gk
160;goals_against_gk
161;goals_against_per90_gk
162;shots_on_target_against
163;saves
164;save_pct
165;wins_gk
166;draws_gk
167;losses_gk
168;clean_sheets
169;clean_sheets_pct
170;pens_att_gk
171;pens_allowed
172;pens_saved
173;pens_missed_gk
174;minutes_90s_gk
175;free_kick_goals_against_gk
176;corner_kick_goals_against_gk
177;own_goals_against_gk
178;psxg_gk
179;psnpxg_per_shot_on_target_against
180;psxg_net_gk
181;psxg_net_per90_gk
182;passes_completed_launched_gk
183;passes_launched_gk
184;passes_pct_launched_gk
185;passes_gk
186;passes_throws_gk
187;pct_passes_launched_gk
188;passes_length_avg_gk
189;goal_kicks
190;pct_goal_kicks_launched
191;goal_kick_length_avg
192;crosses_gk
193;crosses_stopped_gk
194;crosses_stopped_pct_gk
195;def_actions_outside_pen_area_gk
196;def_actions_outside_pen_area_per90_gk
197;avg_distance_def_actions_gk
198;goalsm
199;assistsm
200;pens_madem
201;pens_attm
202;cards_yellowm
203;cards_redm
204;goals_per90m
205;assists_per90m
206;goals_assists_per90m
207;goals_pens_per90m
208;goals_assists_pens_per90m
209;xgm
210;npxgm
211;xam
212;xg_per90m
213;xa_per90m
214;xg_xa_per90m
215;npxg_per90m
216;npxg_xa_per90m
217;minutes_90sm
218;shots_totalm
219;shots_on_targetm
220;shots_free_kicksm
221;shots_on_target_pctm
222;shots_total_per90m
223;shots_on_target_per90m
224;goals_per_shotm
225;goals_per_shot_on_targetm
226;npxg_per_shotm
227;xg_netm
228;npxg_netm
229;passes_completedm
230;passesm
231;passes_pctm
232;passes_total_distancem
233;passes_progressive_distancem
234;passes_completed_shortm
235;passes_shortm
236;passes_pct_shortm
237;passes_completed_mediumm
238;passes_mediumm
239;passes_pct_mediumm
240;passes_completed_longm
241;passes_longm
242;passes_pct_longm
243;xa_netm
244;assisted_shotsm
245;passes_into_final_thirdm
246;passes_into_penalty_aream
247;crosses_into_penalty_aream
248;progressive_passesm
249;passes_livem
250;passes_deadm
251;passes_free_kicksm
252;through_ballsm
253;passes_pressurem
254;passes_switchesm
255;crossesm
256;corner_kicksm
257;corner_kicks_inm
258;corner_kicks_outm
259;corner_kicks_straightm
260;passes_groundm
261;passes_lowm
262;passes_highm
263;passes_left_footm
264;passes_right_footm
265;passes_headm
266;throw_insm
267;passes_other_bodym
268;passes_offsidesm
269;passes_oobm
270;passes_interceptedm
271;passes_blockedm
272;scam
273;sca_per90m
274;sca_passes_livem
275;sca_passes_deadm
276;sca_dribblesm
277;sca_shotsm
278;sca_fouledm
279;gcam
280;gca_per90m
281;gca_passes_livem
282;gca_passes_deadm
283;gca_dribblesm
284;gca_shotsm
285;gca_fouledm
286;gca_og_form
287;tacklesm
288;tackles_wonm
289;tackles_def_3rdm
290;tackles_mid_3rdm
291;tackles_att_3rdm
292;dribble_tacklesm
293;dribbles_vsm
294;dribble_tackles_pctm
295;dribbled_pastm
296;pressuresm
297;pressure_regainsm
298;pressure_regain_pctm
299;pressures_def_3rdm
300;pressures_mid_3rdm
301;pressures_att_3rdm
302;blocksm
303;blocked_shotsm
304;blocked_shots_savesm
305;blocked_passesm
306;interceptionsm
307;clearancesm
308;errorsm
309;touchesm
310;touches_def_pen_aream
311;touches_def_3rdm
312;touches_mid_3rdm
313;touches_att_3rdm
314;touches_att_pen_aream
315;touches_live_ballm
316;dribbles_completedm
317;dribblesm
318;dribbles_completed_pctm
319;players_dribbled_pastm
320;nutmegsm
321;carriesm
322;carry_distancem
323;carry_progressive_distancem
324;pass_targetsm
325;passes_receivedm
326;passes_received_pctm
327;miscontrolsm
328;dispossessedm
329;cards_yellow_redm
330;foulsm
331;fouledm
332;offsidesm
333;pens_wonm
334;pens_concededm
335;own_goalsm
336;ball_recoveriesm
337;aerials_wonm
338;aerials_lostm
339;aerials_won_pctm
340;games_gkm
341;games_starts_gkm
342;minutes_gkm
343;goals_against_gkm
344;goals_against_per90_gkm
345;shots_on_target_againstm
346;savesm
347;save_pctm
348;wins_gkm
349;draws_gkm
350;losses_gkm
351;clean_sheetsm
352;clean_sheets_pctm
353;pens_att_gkm
354;pens_allowedm
355;pens_savedm
356;pens_missed_gkm
357;minutes_90s_gkm
358;free_kick_goals_against_gkm
359;corner_kick_goals_against_gkm
360;own_goals_against_gkm
361;psxg_gkm
362;psnpxg_per_shot_on_target_againstm
363;psxg_net_gkm
364;psxg_net_per90_gkm
365;passes_completed_launched_gkm
366;passes_launched_gkm
367;passes_pct_launched_gkm
368;passes_gkm
369;passes_throws_gkm
370;pct_passes_launched_gkm
371;passes_length_avg_gkm
372;goal_kicksm
373;pct_goal_kicks_launchedm
374;goal_kick_length_avgm
375;crosses_gkm
376;crosses_stopped_gkm
377;crosses_stopped_pct_gkm
378;def_actions_outside_pen_area_gkm
379;def_actions_outside_pen_area_per90_gkm
380;avg_distance_def_actions_gkm
381;LgRk
382;MP
383;W
384;D
385;L
386;GF
387;GA
388;GDiff
389;Pts
390;Pts/G
391;xG
392;xGA
393;xGDiff
394;xGDiff/90
395;Attendance
396;CL
397;WinCL
398;CLBestScorer
399;Season
400;Column1
